Make,Model,VehicleClass,EngineSize,Cylinders,FuelConsumptionCity,CO2Emissions
ACURA,ILX,COMPACT,2,4,9.9,196
ACURA,ILX,COMPACT,2.4,4,11.2,221
ACURA,ILX HYBRID,COMPACT,1.5,4,6,136
ACURA,MDX 4WD,SUV - SMALL,3.5,6,12.7,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,12.1,244
ACURA,RLX,MID-SIZE,3.5,6,11.9,230
ACURA,TL,MID-SIZE,3.5,6,11.8,232
ACURA,TL AWD,MID-SIZE,3.7,6,12.8,255
ACURA,TL AWD,MID-SIZE,3.7,6,13.4,267
ACURA,TSX,COMPACT,2.4,4,10.6,212
ACURA,TSX,COMPACT,2.4,4,11.2,225
ACURA,TSX,COMPACT,3.5,6,12.1,239
ALFA ROMEO,4C,TWO-SEATER,1.8,4,9.7,193
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,18,359
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,18,359
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,17.4,338
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,18.1,354
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,17.4,338
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,18.1,354
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,18,359
AUDI,A4,COMPACT,2,4,9.9,202
AUDI,A4 QUATTRO,COMPACT,2,4,11.5,230
AUDI,A4 QUATTRO,COMPACT,2,4,10.8,214
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,11.5,230
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,11.5,230
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,10.8,214
AUDI,A6 QUATTRO,MID-SIZE,2,4,12,235
AUDI,A6 QUATTRO,MID-SIZE,3,6,12.8,251
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,9.8,217
AUDI,A7 QUATTRO,MID-SIZE,3,6,13.3,262
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,9.8,217
AUDI,A8,MID-SIZE,3,6,13.1,258
AUDI,A8,MID-SIZE,4,8,13.7,265
AUDI,A8 TDI (modified),MID-SIZE,3,6,9.8,224
AUDI,A8L,FULL-SIZE,3,6,13.1,258
AUDI,A8L,FULL-SIZE,4,8,14.7,288
AUDI,A8L,FULL-SIZE,6.3,12,18.7,363
AUDI,A8L TDI (modified),FULL-SIZE,3,6,9.8,224
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,11.8,242
AUDI,Q5,SUV - SMALL,2,4,12,239
AUDI,Q5,SUV - SMALL,3,6,12.9,258
AUDI,Q5 TDI (modified),SUV - SMALL,3,6,10.2,244
AUDI,Q5 HYBRID,SUV - SMALL,2,4,9.9,212
AUDI,Q7,SUV - STANDARD,3,6,15.1,304
AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,12.4,290
AUDI,R8,TWO-SEATER,4.2,8,17.6,336
AUDI,R8,TWO-SEATER,4.2,8,21.2,407
AUDI,R8,TWO-SEATER,5.2,10,18.2,347
AUDI,R8,TWO-SEATER,5.2,10,21.1,409
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,17.6,336
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,21.2,407
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,18.2,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,21.1,409
AUDI,RS 5,SUBCOMPACT,4.2,8,15.3,306
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,15.2,308
AUDI,RS 7,MID-SIZE,4,8,15.5,293
AUDI,S4,COMPACT,3,6,13.2,262
AUDI,S4,COMPACT,3,6,14.6,285
AUDI,S5,SUBCOMPACT,3,6,13.2,262
AUDI,S5,SUBCOMPACT,3,6,14.6,285
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,13.3,267
AUDI,S6,MID-SIZE,4,8,14.2,281
AUDI,S7,MID-SIZE,4,8,14.2,281
AUDI,S8,MID-SIZE,4,8,15.8,300
AUDI,SQ5,SUV - SMALL,3,6,14.9,292
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,10.4,209
